source,target,edge
III defender,Warsaw Disciplinary Commission,threatened with
23 IX 1989,SOS KE KRYPT.Goliath,Retracted by
70  Author,member Polish Philosophical Society,From
1981  he,ZR Presidium,gave
1983 Stoczniowiec Sports matters,1983 Stoczniowiec Sports Club,explain
2008 Bielsko graduate,metropolitan  IV,ordination
20 Strzelce 1955,parish Bielsko Biała,Szymon
imprisoned Bielsko Bishops,monthly Divine Providence,organizer of
Honorary Citizen,1997 Solidarity Podbeskidzie,awarded
Renata Sanak,1952 Bielsko Krakow,graduate of
1981  organizer,Commission Regional Audit Committee,In
1990  Chairman,local government Ukraine,Included
1945 IX 1945,harder Employment Lublin,Bureau of
2 years VIII,conditionally  punishment,released
1980  Department,1981 Works Committee,Region;From
conditionally Casual includingHe,underground Józef pension,From
academic ministry activists,1979 Scientific Aid Factory,employed at
1988 Lower he,S Śląska Opolski,From
He,Silver Merit,awarded
Delegate self government;1987,p. V SOR KRPT.Solitary,as
1953  She,Gdańsk,graduated from
1 Dolmel Electric 31,1 Fabryczna District prison,sentenced by
distinguished  badge,cultural  Poland,awarded
Started school investigation,martial  law,interrupted
1982  decision,internal,was in
Polish  He,Polish publishing Canada,published
Dynamic Corp.- VP he,certified Chartered Ontario,received
1980 vice -chairman,26 1st Commission,From
homeland;In opposition he,head District Giżycko,detained during
1956 Strzelce 1960,1980 IX High Gdańsk,From
then printing 1988,sea greeting writage,publisher
Los he,2000 Polish Army,returned to
1980 Working which,1100 Alina Pienkowska,signatures of ELMORU
1983  arrest,1983 District Gdańsk,was
1988 trade President,S Higher Szczecin,In
1941 born14 France).He,Mechanical Technical Świdnica,Sawa
1986 District Office,1985–1989 Employee climate,member of
original Field i,1998 Self Government Świebodzice,member of
1.5 VI 3/4,penalty,sentenced to
information  which,1981 Adam Watch,organizer of
13  XII,9 III 9 age,interned in
Andrzej Sawicki,there Higher Engineering Koszalin,graduate of
currently West Pomeranian University,1969–1988 Szczecin PS,Controller in
Kolporter Underground eg courier,1990 Solidarity fighting,founder of
1982  Employee,12 railway companies,painting
departmental member Committee,mechanics ZR Gdańsk,Krajowa-12;In
1989 Vice - President,honorary Political Poland,Awarded
-,Kor Chairman Professional Nieznieżek,arrested
national Warsaw section,2011 P.O.directorIn vicentary,CKE.From
11  VII,1978 WatchIII KS EC,Developed by
8 Włodzimierz He,mechanical  Lubań,graduated from
1960  maneuvering,front Main Board Rudna,participant in
1981 Provincial delegate,first 1st Plant,delegate to
13  XII,7 VII 1982;fired,interned in
voice  employee,2006 Dominion retirement,Corporation;From
1981  he,staprebeline,participated in
COMMUNITY Member S,S Gdański ZR,Delegate on
Julian Sekuła,1951 Maria Curie Lublin,graduate of
12 FMO trade XII,9 Szczecin shipyard,Warski
1981 Wojciech spokesman,tourist transit Italy,Samoliński
1990  Return,2006 trade union retirement,From
President,1981 trade Dignity,From
He,Polonia Restituta,awarded
school information RMP,worker self education RMP,co
1987 Catholic detained,state II.11 passwords,stopped after
2004 Tygodnik It,weekly Gazeta Polska,wrote for
18  IX,1982 SOR KRPT.Education,Mo in
formerly Stalowa graduate,Social Stalowa sociology,sciences in
together Krakow which,law Jan S,Brantley
26 Tygodnik VII,1984  amnesty;He,interrogated many
1983,DepartmentIII SOR crypt,Brigade
Aleksander Eugeniusz Seniuta,currently d.31 Wroclaw,graduate of
where Gray he,researcher Prison Warsaw,From
24 strike XII,1982 3rd students,Isolation in
criminal  He,disabled health benefit,remained in
Jan Antoni He,vocational  school,graduated from
military  he,evil day soldiers,people against evil
1980 Factory founder,first Nszowiek Professional Union,delegate to
then day Organizer,1983 Solidarity work,submitted
Józef He,Mazovian Stalowa Wola,graduated from
IX 1988 IX participant,patriotic  programs,From
COMMUNITY Member S,2001  retirement,From
1982  XII,SO WUSW crypt,Metallurgist
several Search times,48  hours,stopped for
1983,Suor Krypt,bearded
1981  1985,SOS SOR KRPT.Roe,WUSW in
National Theater Kazimierz Participant,5  prison,spreading
where  he,Paris,went to
French includingThe International Center,Comédie 1993,involved in
1980  organizer,Active strike guard,Pułaski in
1953 born22 He,communication Poznań,graduated from
1981  Isolation,8,Wlkp.;Released
1981  he,pediatric Ostrów Pleszew,Gębarzew
collaborator,wing election committee,From
He,Polonia Restituta,awarded
Janina Sidor,1948  Olsztyn,education
preparatory  VIII,local opposition presses,Isolation in
diocesan  publication,retirement  2003,retired
underground Stara Anna,3 Labor months,retained
1989 Committee Civic Committee,1995 Property Transformation,Transport;From
1981  1982,1989 EC Krypt,Ringleader
Władysław Sidorowicz,2014 Medical Łódź,graduate of
1972 Municipal i,1981 Psychiatric Day Branch,head of
1981  Interned,Secretariat health protection,Disclosed to
she,Where Stanisław Żytkowski,dealing with
religious self employment they,Christian others culture,conducted
1988 anniversary celebration he,minor eg son,repressed
1989  originator,2008 National Health Rzeszów,Branch of
10  May,1989 V crypt,II
who,1979 Wielkopolska Kujawska,In
Independent Self Governing Trade Publisher,Individuals Government Trade Gorzowska,Bulletin of
1981 Gorzów Głogów,common Gorzów room,In
Bogumił Janusz Sielewicz,Warsaw.1980  Bialystok,born17
leaflet Bogdan He,called Sejm Polish Republic,organizer of
borrowedPursuant,1981 Youth Union,obtained
Individual Farmers Entrepreneurship graduate,Regional Falentach,protection
1989 Catholic Intellect organizer,Committee Aid Wałbrzych,Organizer
-,Struktur  2003,retired
WatchIII crypt VII,KW MO EC KRPT.Parrot,WUSW within
currently Koszlach k. Ukraine).He,high Stefan Krakow,Batory in
1964 Main Board,called occupation shipyard,Participant of
12th occupation distributor,working St. Stanisław homeland,organizedin
1981 x Delegate,independent Health Service letter,Map;In
organizer,union union union S,1989
2nd  WUSW,SOR crypt,Activist
13 December XII,high employee files,interrogated many
1936 Jan He,Warsaw;1967 PZPR member,graduate of
Arkady publishing Hoov,1981 Chairman Professional Nieznie,Warcent);Delegate on
Secret Commission Warsaw represented,murdered laying miners,Victory in
12 KS VII,1982 Warsaw Białołęka,Detained
XII,secret Military Garrison relationship,stopped at
1988 Polish he,Socialist Party RD,belonged to
1982 13 II,1985 Faculty III-2 SUSW,Ministry of
lectist video He,Christian culture churches,acted in
1989  2001,S Polish Actors,member of
2017 province Canada).He,vocational  Warsaw,born27
1966  Elektromonter,1973 KS MO,patrol battalion).From
1981 FMO trade Letters,XII 1981 Szczecin shipyard,Warski
flat  which,1986 PLN Canada,forced
Andrzej Sikora,1946 Jagiellonian University,graduate of
1945 born2 He,Technical Secondary Tarnów,graduated from
30 IX 1988,registration  S,submitted
trade unions election he,2001 Right Tarnów truth,reveal
1981  1982,MO crypt sauce,Group
1967 Dariusz He,1999 Warsaw enterprises,graduated from
catechetical Andrzej who,4 SMISA 1989,writings of
chairman,S Polish State Rozwadów,member of
1952 on23 He,Technical Secondary Tychy,graduated from
1982  interned,1983 years amnesty,be
1932 born25 He,high school construction Lublin,graduated from
1948 born.5 He,chemical technical chemical Tarnów,graduated from
1983 Nowy 1984,WGT.Repeatedly  interrogation,stopped
distributed Dispersed Solidarity aim,voluntary Polish Corps Office,Meeting of
previously SB officers,relevant  information,signed
1947 Jerzy He,mechanical technical school,graduated from
1980 Bureau Mommisja he,request,Committee on
organizer,1988 Karate Shodan championship,Holder of
Committee Civic Committee,memorial Radom;A 1989,S
golden Medal Pro Memoria,Rebirth OrderPolish,Awarded
free Zygmunt August He,Secondary Gdańsk,graduated from
1942  soldier,independent Nszowiek Rodła,collaborator of
name,honorary Polish Authors 2004,member of
many Kazimierz Szalewski,1996 Kashubian Lake District,history of
1980 Gdańsk he,1985 Supreme Bar Council,came with
criminal 1 proceedings,1988 Lech SG,In
1989 Local he,1994 State Tribunal,reactivated
Andrzej she,home,led
co,provincial letter);a listening,flyers
suspended Catholic Intelligence she,"Znak"";1986 Literature translator",hid
water Municipal 2007,national Water defense,Awarded with
1983  1985,crypt SOSExtreme,As
1988 District College,striking strike action,In VIII
He,Silver Merit,awarded
Solidarity trade R,PKSLW Self messages,stopped
1980 IX Przemyśl,following South East,From
13  XII,1982  fasting,interned in
there Sor Den;1979,there crypt sauce,Renegade
Solidarity trade union Coordinator,Important Aid Committee;The repressed,interrogated
Małopolska He,surrounding research 1945,conducted
"underground  including""Warwall",underground  scriptures,Base
he,1920 Publishing House East,Podlaski
then  organizer,Repeatedly IX revisions,interrogated
student Stefan listener,secret teaching philosophy,Ordinary
1944 Vilnius National he,1981 Scientific Courses,Academy of
name,patriotic  Association,signatories of
1985  This,1985  historicity,is
1978  VIII,KE SOS KRPT.Barba,Retracted by
1936 Biała He,Polish Bielawa,graduated from
1984 information Departure,financial New Saint,sent financial
inscription MO militia,1988 Underground Scriptures,1989
1990 television he,episodic television movies,performer of episodic
1983,SOS SOR EC KRPT.Jantar,WiSW in
1992  Delegate,S Vice - 1996,retires
1981  Isolation,medical publishing environment,In
2 Provincial Hospital guide,Management Group,GOPR
Solidarity N Maintenance services,then Professional Niezniazek,o.o
1950 Stanisław He,high Westerplatte Gdansk,heroes
1982 Gdynia;15 Isolation,9 Energobloko Coast,released
then European he,stood UM Sweden,documented
1993 on31 Communication,1993 on31 Konin,technician
technical  instructor,then Youth Socialist,supplies in
founder,complex KW Konin,During
1982 crypt Delegate,1 OI Tomek,Refer to
1987,1988 Polsped Freight Cooperatives,discontinured
which,base Middle Nadodra,Osterwa in
1983  SMW,1985 wood Agricultural Poznań,1986 during
3 Warsaw Underground programs,1986  offenses,"S"".23"
16 Military XII,students.1978 1980 centrumio property,participant in
1981 MKOMISIA participant,many government department,removed within
few  times,revisions,stopped
1990 Vice - President,South Eastern Depz,penance
working  DLP,political WSK PZL Warsaw,member of
organizer,martial Audit Committee,disclose
Ryszard Mieczysław Skrodzki,1942 Maków Mazowiecki,education
independent warning he,activity,withdrew from
1981  printer,1984 Poznań Dairy amnesty,fined by
b.30 He,social  worker,completed
working  DLP,working pilgrimage people,organizer of
1989 Silesian University,graduate Economic Katowice,Rights
1981 Civic Committee,then MROS bulletin,demonstrations
5 aid he,Solidarity Independent Wrocław,-organizer
supervisory IX i,2010 Telewizja Polska NBP,President of
1982  1985,KW MO SOR crypt,Warriors
4 onOn He,14th High School,graduated from
1981  Participant,1983 Supreme detention,Repeal
Four  times,1988 opposition persons.1983,interrogated
1989 A member,1987 Saint Warsaw,organizer of
11th  member,1981 Provincial Suwałki,Delegate on
14 May VIII,underground  publications,After
Krystyna Sławińska,currently Scientific Information Warsaw,born26
Lower Silesian She,slept  texts,given
2020 d.25 He,Technical Głogów,graduated from
1975 Remontowo Montaic,Głogów Żukowice,KGHM
1981 VII Co,Free Głogów,founder
social VIII income,underground Lubin crime freedom,distributed
1981  participant,1988 Gdańsk Shipyard,Performances for
Sławomir Dominican,priestly  Krakow,ordination in
1981 student he,pastoral medical Gdańsk,Rights
1987 Lech He,then SB Jarosław,In
20 Tri VIII,strike medical student strike academy,participant of
scientific William J. i,scientific Polish Pathology,Cunliffe
1950 born5 He,car Szczecin,graduated from
member,2002 Drewnikowski Automotive pension,Unemployed
1949 Andrzej He,professional bakery school,graduated from
1980  participant,responsible trade union printing,delegate to
affiliation Free Trade he,1987 trade 1981,driver
commission.1992 1993 Disabilities he,Australia,lives
1984  1990,Mo SOR KRPT.Musician,wusw in
Stanisław Władysław Słowik,1950 Higher 1974,graduate of
3 prison He,Christian  culture,involved in
1992 Honorary Holy Father,metallic Cathedral Chapter,has since
1946 Grażyna She,high  Toruń,graduated from
1980 Toruń Region;From she,third Bydgoszcz crisis,conducted
pastoral Church she,scientific publishing company,made
distinguished  badge,2009 Pro Freedom,awarded
second AŚ participant,union Ustroń Polanie,In
member,own Protected Introl Racontrol,Katowice
first Bialystok December,"1982 S"".1 pension",From
1944 born11 He,high  Świdnik,graduated from high
second invalidity Isolation,Włodawa,released
31  XII,1990 Robert 2009,retired
Club Melbourne;Co Distributor,2003 AssociationTadeusz Kościuszki,is
21 Mała graduate,priestly Major 1956,ordination in
documenting Dekanatach documents,1980 Mary 1984,made
priests,there Confessing packages,help in
26  VIII,1980 Suor Suprus,Developed by
1998 Karol He,Soviet  L.,graduated from
subsequent  he,photographic  plant,owner of
1980–1981  co,Silesian Region Silesian S,co
domestic District Court,1985 Krakow Bieżanów Stary,participant of
Mo crypt DUBLER,there EC Krypt,Fighter
owner,Club Independent Association,President of
He,SchoolKS.Stanisław Economic Krakow,graduated from
13  XII,related OO workplace,For
Second Residential member,Podkarpackie Voivodeship,Since
Andrzej He,energy technician,graduated from
together Piotr he,300 underground publications books,Co
Jędrzej Smulkowski,1993 Adam Poznan,Mickiewicz in
III 1941 III He,high  Wrocław,graduated from
1970 Metrology helper,KGHM transport .,from
Gentian Club Gentian,1981 ZR Lower Silesia,VI
16  IV,1986 Social Wrocław,printers.15 IX
21 XII 1982–30,1989 SOR crypt,Activists
pastoral Andrzej Bobola,there SKS members,maintained
52 Polish Scenes initiator,1988 Central Szczecin,Initiator of
head,national Szczecin authorities,In
1997 KPN he,2001 State Control Szczecin,Specialist in
12 IX 1989,KRPT.Oset Parliamentary dwarf,Committeeometom with
1980  Chairman,Central ZR country,seconded
15 Warsaw Military 1984,2 Warsaw Military prison,softened
1940  He,technical  Gdańsk,graduated from
1967 Square electromoomer,Gdańsk renovation shipyard,branchIn
1981 Gdańsk initiator,shipyard,Piłsudski
1983 III Court,1983 State Council,granted
most S. common);Author,1979 PhD Warsaw,From
1980,responsible ZR Lower day,Silesia
