source,target,edge
1983  Collaborator,underground Kolporterka husband,interrogated
4  1982,poor  health,Arrested for
30  IV,1985 Sor Krypt,Developed by
Leonard Rypoń,1949  Opole,born26
13  XII,1981 Christmas Eve,interned in
1980  1981,outz,Developed by
organizer,Organization Górażdże Cement SA,In
Hanna Teresa Rytko,1927 on26 Warsaw,born
1980  member,striking Sosnowiec;Co region,rebounds for
22  January,early  retirement,interned in
she,1982,spread over
co,Kolporter Andrzej Brzozowski,called
1989  1996,construction Corina renovation Budros,are
1973  Goniec,1980 animal care,InspectorAccompanied by
1981  participant,secret General Wojciech Jaruzelski,»
honored  badge,Polish  culture,deserved for Polish
leaflet  printer,free printing equipment,In
Paweł Sabuda,1966  Krakow,born12
Czesław Sadłowski,1938 on5 Suwałki,born
7  attempt,presbytery,operated
Winner,Poland Rebirth,awarded
14,criminal Provincial Colonel,submitted
17  XII,1981  axle,interned
He,Polonia Restituta,awarded
founder,31 subtitle Walls,leaflets
He,Polonia Restituta,awarded
Sławomir Sadowski,1962  Gdańsk,born1
1980 co -initiator,other strike faculties,transformed into
Huta election i,participant election activities,m
he,Poland,came to
1981 Strike Committee Tam,member Main Rudna,ibid
1982  priests,underground National Education writing,inwith
he,working  station,stopped at
1977  Plastic,1979 Young Poets Club,works
He,Distinguished Culture activist,awarded
1984  1985,Mr,Developed by
Anna Samolińska,1956  Szczecin,born1
Wojciech Samoliński,1953  Gdańsk,born1
13  XII,14 Kielce December,interned in
1987  1989,SOR crypt,worked
III defender,Warsaw Disciplinary Commission,threatened with
23 IX 1989,SOS KE KRYPT,Retracted by
13  XII,1981  July,interned in
imprisoned Bielsko Bishops,Committee,Aid
Honorary Citizen,1997 Solidarity Podbeskidzie,awarded
Renata Sanak,1952 Bielsko Biała,born17
1981  organizer,underground  magazine,meetings
1990  Chairman,local government Ukraine,Included
6  XI,prisoner IX Krakow,arrested for
-,plant,vice
13  XII,1981  axle,interned in
He,Silver Merit,awarded
1981  1982,WatchIII crypt sauce,Developed by
Aleksandra Sarata Ciechanowicz,III  Gdańsk,born12
13  XII,axis Warsaw Olszynka Grochowska,interned in
distinguished  badge,cultural  Poland,awarded
1982  decision,internal,was in
1980 vice -chairman,26 1st Commission,From
13  XII,1981  anxiety,interned in
twelfth  he,Los constructor,went with
jointlywith  Paweł,trade union trade S,calledII
education culture OMKP author,Szczecin Science SKN,environments
13  XII,1981 Nowy Wiśnicz,interned in
Andrzej Sawicki,1946  Szczecin,born1
currently West Pomeranian University,1969–1988 Szczecin PS,Controller in
1982  Employee,railway,works
organizer,departmental Gdańsk Shipyard,In
11  VII,WatchIII KS EC,Developed by
1960  maneuvering,main Gryfów Śle,sealing
13  XII,7 VII 1982;fired,interned in
1981  he,ALY,participated in
Julian Sekuła,1951  Lublin,born12
1990  Return,2000 tounion chronic,seconded
He,Polonia Restituta,awarded
1980 Second High he,school information cabinet,led
18  IX,1982 SOR KRPT,Mo in
VII,1984  amnesty;He,interrogated many
1983,DepartmentIII SOR crypt,worked
Aleksander Eugeniusz Seniuta,1930  Lviv,born27
24 strike XII,1981  anxiety,interned in
military  he,shooting,led
14  XII,1981  axle,interned in
1982  XII,SO WUSW crypt,worked
S Jerzy Stefan which,Suwałki NT,XII
collaborator adviser Committee Committee,Nszowiek,Suwałki
1983,Wydz,Developed by
1981  1985,KW MO SOS SOR KRPT,WUSW in
where  he,Paris,went to
French includingThe International Center,Comédie 1993,involved in
17  XII,1981  axle,interned in
1981  he,repressed,involved in
collaborator,Ostrów Catholics St,From
He,Polonia Restituta,awarded
Janina Sidor,1948  Olsztyn,born17
diocesan  publication,retirement  2003,retired
1981  1982,WatchI  DEP,Developed by WatchI
Władysław Sidorowicz,IX 1945 IX Vilnius,born17
7 detention VI,detention Wrocław,released
she,mainly Gorzów Wlkp,dealing with
1981  she,Gorzów  Poznań,continued
Committee Civic Committee,Professional Nieznie,Land
1989  originator,1992 Nszowiek Professional,delegate to
10  May,SO V KW crypt,worked
20  XII,1981  axle,interned in
Bogumił Janusz Sielewicz,1959  Warsaw,born17
-,independent emigration West,1977
borrowedPursuant,further  reproduction,obtained
-,Struktur  S,POIW
1980  VII,WatchIII crypt sauce,Developed by WatchIII
Józef Sieniawski,1921 Koszlach k,born19
1981 x Delegate,letter Health service newsletter,Map;In
13  XII,then Bydgoszcz Gołdap,interned in
2nd  WUSW,SOR crypt,inspectorate in
Secret Commission Warsaw represented,magazine VII co Survival,Krajowas;I-
12 KS VII,1982 Warsaw Białołęka,Detained
XII,secret Military Garrison relationship,stopped at
MRADA Krajowas MRADA he,Szczecin,transferred
1982 13 II,1985 WatchXIII VI DEP,Developed by
underground  he,distribution apartment,ran
Ireneusz Sierański,1947  Łaskarzewo,born27
1966  Elektromonter,1970 MO patrol battalion,works in
Andrzej Sikora,1946  Cieszyn,born1
1981  1982,so WYDZV KW crypt,Developed by
Electromechanic  control,control District Technical Gases,labels
13  XII,1982 Nowy Sanok,interned
where  he,b,From
golden Medal Pro Memoria,Rebirth OrderPolish,Awarded
Author,many Kazimierz Szalewski,including'Jan
1980 Gdańsk he,Solidarity Next National Niezniezek,came with
co,provincial letter);a council,made available
1982  she,after MO P,hid
Delegate,called Economic Poznań,graduated from post
1983  1985,Mr,worked
He,Silver Merit,awarded
VIII,1980 IX province,developed
13  XII,1982  fasting,interned in
III Hospital 1982,5 Hospital Krakow,released
he,especially  East,deals with
then  organizer,1982 IX work,participant in
1982 scholarship Cooperation,Christian Culture,Co
1978  VIII,KS MO KS KE,Retracted by
13  XII,1981  axle,interned
alternative  editor,Homek  writage,In
famous  albums,1990 party animals,are
1983,outz,Developed by
1981 Co organizer,Czesław branch,No
1981  author,1982 Gdynia;15 axle,interned in
technical  instructor,then Mining School Konin,supplies in
20  V,1982 crypt sauce,Developed under
which,base Zielona Góra,destroyed
16 Military XII,1952  amnesty,arrested
organizer,MPK,No
Ryszard Antoni Leather,1952  Mielec,born13
Ryszard Mieczysław Skrodzki,1942 Maków Mazowiecki,born13
1981  participant,1982 occupation Department,participant in
10  IV,2010 plane Smolensk,killed in
1981 Civic Committee,Federation;Delegate FMS Warsaw,included in
19  VIII,1982  Ośr,interned in
founder,then Polish Youth Council,President of
1982  1985,outz,Developed by
governing trade union,"1980  S"";Secretary",vice
11th  member,1981 Provincial Suwałki,Delegate on
Krystyna Sławińska,1945  Majkaragaj,born26
1975 Remontowo Montaic,Głogów Żukowice,KGHM
1980  he,gate,No
1981  he,homeland,celebrated
1980  participant,responsible Trade others,Union
1984  1990,Mo SOR KRPT,wusw in
1982  he,own  apartment,hid
1980 Toruń Region;From she,third Bydgoszcz crisis,conducted
distinguished  badge,2009 Pro Freedom,awarded
organizer,then Provincial 3,stopped
first Bialystok December,underground Independent Association,participant in
Marian,1944 born11 Lublin,Small
spine  it,second invalidity anxiety,Interned
31  XII,1982  employment,Solve
1981  he,patriotic  Mass,made patriotic
26  VIII,1980 Suor Suprus,Developed by
VII IX,initio agencies crypt,Developed by
participant,March university,arrested
Józef Pitch,1949  Wałbrzych,born22
13  XII,1981  28,interned in
together Piotr he,printing leaflets);Underground house,printed underground
Jędrzej Smulkowski,1936  Gdańsk,born13
Marek Expedite Smyk,III 1941 III Krasnystaw,born7
13  XII,1981  Legnica,stopped at
21 XII 1982–30,Legnica KW p,worked
12 IX 1989,crypt sauce,Developed by
Lech Sobczak,1940  Łódź,on8
1967 Square electromoomer,Gdańsk renovation shipyard,branchIn
1980,MPK,No
14  XII,1981  axle,interned in
He,underground  letters,involved in
Andrzej Sobieraj,IX 1946 IX Radom,born12
vocational trade chairman,Solidarność Professional żap,From
23 V VII,48 dozen revision,interned in
founder,communist Solidarity regime,protest
organizer,Polish trade scenes,In
President Rzeczpospolita Cross,cultural  activist,awarded
7  VII,then  Wrocław,released
Author,monthly Polish Tidende,"including""Bergens"
organizer,money country,After
Honorary Citizen,Poland,awarded
5  1988,outz,Developed by
1983 Club Zagłębie Lubin,Lubin Lubin,KGHM in
Chairman Instary Commission,launching printing Kresz,obtaining
18  1982,5  Kwidzyn,interned in
1985  Member,mainly Aleksandra Seredyński,From
1993  Assistant,central includingdirectorBusiness Europe,projects
organizer,Polish State Wrocław,In
13  XII,1981  axle,interned in
member,then State Railways Wrocław,Ril
1980  participant,PKS crew,presented
14  XII,1981  work,released disciplinary
1981  VII,young Poland publishing house,cooperation with
Sławomir Soból,III Gdańsk,born26
together Janusz we,journalist 1st Towns,Participant of
1990  I,Tymiński,slept from
Grzegorz Socha,1947  Kalisz,born12
1961  Student,Elektromonter WMechanized household appliances,employed on
13  XII,1981  axle,interned
1989,fleece Polar retirement,employee
27 VIII 1980–1984,MO SOR crypt,worked
distinguished culture activist,Polonia Restituta,awarded
1980  participant,1981 1st Towns,-organizer of
He,2000 Polonia Restituta,awarded
8 solidarity VII,off appeal Gdańsk,dismissed from
1981  IV,anxiety,interned in
21  XII,1981  axle,engaged in
1982  1983,leaveIIIA EC Krypt,Developed by
1983,crypt sauce,Developed by
13  XII,1981 Nowy Rzeszów,interned
20 II,1982  anxiety,interned in
organizer,4 Przeworsk VI,Participant of
He,Polonia Restituta,awarded
Stanisław Sołek,1946 Gniewczynie Rzeszów,born17
together  he,printing,printed
He,Polonia Restituta,awarded
1983  1985,SOR KRPT,Developed by
9 WYDZV KW,Sor Krypt,in
15 Nowy 1982,then Nowy Rzeszów,released
he,underground  structures,went to
1976  1981,outz,Developed by
1945  1951,own orchard Orzechowce,ran
Adam Socha Adam what,third First Commission XI,paid
13  XII,1981  axle,interned
1977  Mechanic,graphic  plants,In graphic
Silver Cross,cultural  activist,awarded
1980 Department;In which,Gdańsk shipyard,Participant of
He,Golden Merit,awarded
1981  activist,Toruń Polish Solidarity,printer of
Andrzej Spera,1952  Bolesławiec,born20
14  XII,1981  stresses,celebrated
Solidarity publishing Solidarność,underground publishing others,houses
13  XII,1981 15 II 1982,interned in
1989  Chairman,Committee  -,reactivating
1982  V,Mo SOR KRPT,wusw in
13  XII,1981  axle,interned in
co,interned  St,On
13  XII,1981 Załęże K,interned
1989–1993COMMISSION COMMISSION Delegate,1993 Professional Niesze,roadworking
Andrzej Stachyrak,1950  Sanok,born13
electrician mechanic,retirement unemployment 2000,retired
1988  Co,first Gdańsk Fr,leader
1992 Gdańsk organizer,participant  gate,No
Stanowski Edward,1929 Skaryszew K,born1
twelfth  publisher,1981,Fight
1981  interned,Warsaw Białołęka,released
he,country,returned to
24  VII,again  MDK,interned in
Laureate,Hungarian Saint Stefan,awarded
1982 day hunger Chairman,then  pension,stopped
29  VIII,striking MPK depot,supported
1981  IV,axle,interned in
he,Poland,emigrated from
1980 Intermediate Strike we,Gdańsk,ix
Honorary Citizen,Poland,awarded
Catholic  groups,then SS Saint,succumbed to
academic  which,internment,hospitalized in
Author,young Second World War,Widonokrg
1982  VII,Mo EC Krypt,Developed by
Krzysztof Stanowski,1959  Lublin,born12
Laureate,1994 Polonia Rebirth,awarded
Tadeusz Stanski,1948 Błonie Podlasie,born27
28  VIII,1980 August T,detained
opponent,together election VI,boycott
III,Siedlce WYDZIV KW Watch,Developed by
1980  co,1981 Software Text Delegates,member of
1977  1989,KS MO SOR KRPT,SUSW as
1967 Music 1971,1984 Sulejów GM,carried
he,Szczecin,After
14  XII,1981  axle,interned
23 III 1985,WatchIII  p,Developed by WatchIII
15  XII,fine  penalty,stopped
-,Circle employee rights,Bureau of
1981 Protest he,Piasecki Protest floor,hung
1983  May,MO SOR crypt,worked
1980 vice -chairman,private factory Toruń,From
worker,1982 Underground TIS,After
13  XII,1981  axle,interned
1980  organizer,one day strike,chord
13  XII,1981  axle,interned
10 III 1984,1984 Nowy amnesty,audit at
21  he,1982  Department,signed
1981 Co organizer,urban Gdańsk railway,approx
13  XII,1981  axle,interned in
1981  1989,MO SOR crypt,worked
1980 Strike member,7th Śląsko Dąbrowskiego Region,seconded by
13  XII,1982 MCC intervention,interned in
participant,Economy self forms,subassemblies for
He,Polonia Restituta,awarded
1980,1985,started
1981  oppositionist,occasional clergy seminar,imprisoned independent
2007  Manager,specialist hearing defects,changing
1982  1983,SOR KRPT,Developed by WatchV
5 health 1982,conspiratorial health service,Internon
20 IX 1985,KW Mo EC Krypt,Developed by WatchIII
Co  -,Bell youth environment,subtitle
Ryszard Tadeusz Stefaniak,III  Wrocław,born27
1980  Chairman,martial reserve law,From
Krzysztof Stefaniuk,1943  Parczew,born12
1991  member,1996 Catholic National Movement,From
22  January,DepartmentIII crypt sauce,worked
organizer,plant,In
Jerzy Adam Stępień,1946  Staszów,born7
13  XII,1981  axle,interned in
2006 Golden Cross,Gloria Artis National Justice,Decorated with
1980  Kolporter,Bulletin Professional Niezniazek,leaflets
Leon Stobiecki,III 1933 Piotrków Trybunalski,born1
forced  he,Poland,returned to
10 removal XII,1981 removal Strzebelinki,released
1962 Cooperative Samopomoc Peasant,transport Command Community company,No
organizer,departmental Gdańsk Shipyard,In
criminal  proceedings,1982 Underground Transbud Departments,discontinued in
Technical  worker,Institute Polish 2008,retired
1970 Gdańsk shipping employee,foreign Maritime Commercial shipowners,swopped on
25  III,WUSW EC Krypt,Developed by
Regina Anna Stamp,Stalowa Wola,born26
14  XII,1981 OO monastery,detained as
1982  1984,Wydz,Developed by
1980  KS,few hour strike campaign,carried
participant,professional trade meetings,placeatry
1980,crypt sauce,Developed by
1979  Editor,proprietary opposition writers,released for
1982 Tygodnik editors,radio information Warsaw,prepared
Chairman,Industry National S,seconded
20  XII,KW MO WYDZV KW KE,Developed by
she,false  freedom,arrested for
1963 IX 1989,WatchII,WZ
Polish justice;In chairman,Polish justice;In authors,was
twelfth  he,few  others,attempted with
founder,Łódź Nasza Truth,appearing in
Author,fate,gave
27  IX,1986 SOR KRPT,Developed by
1997  Lecturer,1967 Catholic 1970,Dygr
Aid Piła Region,Dekanate ONR,visited
1947–1950  she,1958–1980 Polish Sciences,ran
Roman Suchowiecki,1961  Ciechocinek,born1
approved Silver Cross,democracy,Awarded
Adam Sudoł,1920  Kolbuszowa,born7
1981 Sanok which,1981 Sanok market,S
Civic Committee,trade unions election campaign,supported by
14  XII,1981  anxiety,stopped
1982  VIII,kW MO EC crypt,worked
9  IV,Przemyśl,revealed to
1978,FacultyIII SOR KRPT,worked
founder,independent Warsaw art,SolidArmies
Jan Sugalski,1950  Bogatynia,born1
20  XII,worse  conditions,accepted
safe  she,electronic  broadcasting,supplied editorial
20  May,KW MO crypt sauce,worked
grade renovation planner,mechanical machine plants,specialized
13/14  XII,then Pafawag hiding,attempted
1981  Participant,1981 occupation Physisja,PZL;From
1982  1989,Faculty,Developed by
Halina Suwała,1926  Kalisz,born13
13  December,Warsaw Olszynka Grochowska,interned in
workowness  Rada,Radio Solidarity Wrocław,From
financial Co - i,financial Co - Huta,m
1990 Prada Komiowa President,Presidential Election Campaign,canceled for
1980 strike participant,Scriptures III informer,In
ABC conspiracy that,1982 Paweł axle,managed
1980  Chairwoman,Municipal Committee;KPN hunger,From
weekly Akademia Górniczo Kolporter,weekly Akademia Górniczo Hutnicza,leaflets
founder,University Founding Bureau,prey
24  VII,1981 beating trapped,released
1983,Wydz,Developed by
He,Golden Merit,awarded
1972 Mater Nostra Ert,Freedom,received
13  XII,S employee SS,originator
1981  he,EC crypt,worked
1981  initiator,war;from,hw
1981  Participant,then III work,released from
1982  1988,outz,Developed by
high school diploma,secret  sets,passed on secret
13  XII,1981  axle,interned in
scientific  articles,Scriptures,works in
underground Solidarność Kolporter,commemorative trade union activities,writers
11 member Physisja V,axle,interned in
Wiesław Szczepanowski,1949  Koszalin,born13
16  XII,1982  revision,detained
Jan Szczepańczyk,1937  Częstochowa,born15
Soviet September he,Krakow,residing with
1983 Polish he,term,described
1994 Unknown we,1998 candlelight dinners,essays
Edmund Szczesiak,1942  Brodnica,on8
III,KW Mo EC KRPT,Developed by
2,axle,interned in
2,axle,interned in
general  following,general  pension,retired
